symbol,earnings_date,trading_date,source,confidence,release_time,eps_actual,eps_estimate,eps_surprise_pct
ALAB,2025-11-04,2025-11-05,yahoo,actual,unknown,0.49,0.39,25.6
ALB,2024-02-14,2024-02-15,yahoo,actual,unknown,1.85,1.11,66.72
ALB,2024-05-01,2024-05-02,yahoo,actual,unknown,0.26,0.23,11.7
ALB,2024-07-31,2024-08-01,yahoo,actual,unknown,0.04,0.46,-91.27
ALB,2024-11-06,2024-11-07,yahoo,actual,unknown,-9.45,-4.94,-91.3
ALB,2025-02-12,2025-02-13,yahoo,actual,unknown,-1.09,-0.67,-63.0
ALB,2025-04-30,2025-05-01,yahoo,actual,unknown,-0.18,-0.68,73.52
ALB,2025-07-30,2025-07-31,yahoo,actual,unknown,0.11,-0.81,113.51
ALB,2025-11-05,2025-11-06,yahoo,actual,unknown,-1.72,-1.0,-71.43
ALGM,2024-02-01,2024-02-02,yahoo,actual,unknown,0.32,0.29,10.66
ALGM,2024-05-09,2024-05-10,yahoo,actual,unknown,0.25,0.21,17.06
ALGM,2024-08-01,2024-08-02,yahoo,actual,unknown,0.03,0.02,47.57
ALGM,2024-10-31,2024-11-01,yahoo,actual,unknown,0.08,0.06,27.37
ALGM,2025-01-30,2025-01-31,yahoo,actual,unknown,0.07,0.06,9.12
ALGM,2025-05-08,2025-05-09,yahoo,actual,unknown,0.06,0.05,19.59
ALGM,2025-07-31,2025-08-01,yahoo,actual,unknown,-0.07,,-3465.38
ALGM,2025-10-30,2025-10-31,yahoo,actual,unknown,0.13,0.12,5.37
ALGN,2024-01-31,2024-02-01,yahoo,actual,unknown,2.42,2.18,11.22
ALGN,2024-04-24,2024-04-25,yahoo,actual,unknown,2.14,1.98,8.27
ALGN,2024-07-24,2024-07-25,yahoo,actual,unknown,2.41,2.3,4.56
ALGN,2024-10-23,2024-10-24,yahoo,actual,unknown,2.35,2.31,1.55
ALGN,2025-02-05,2025-02-06,yahoo,actual,unknown,2.44,2.45,-0.37
ALGN,2025-04-30,2025-05-01,yahoo,actual,unknown,2.13,1.99,7.07
ALGN,2025-07-30,2025-07-31,yahoo,actual,unknown,2.49,2.57,-3.26
ALGN,2025-10-29,2025-10-30,yahoo,actual,unknown,0.78,1.29,-39.3
ALK,2024-01-25,2024-01-26,yahoo,actual,unknown,0.3,0.18,65.96
ALK,2024-04-18,2024-04-19,yahoo,actual,unknown,-0.92,-1.05,12.13
ALK,2024-07-17,2024-07-18,yahoo,actual,unknown,2.55,2.38,7.35
ALK,2024-10-31,2024-11-01,yahoo,actual,unknown,2.25,2.22,1.46
ALK,2025-01-22,2025-01-23,yahoo,actual,unknown,0.97,0.47,106.7
ALK,2025-04-23,2025-04-24,yahoo,actual,unknown,-0.77,-0.77,-0.05
ALK,2025-07-23,2025-07-24,yahoo,actual,unknown,1.42,1.6,-11.25
ALK,2025-10-23,2025-10-24,yahoo,actual,unknown,1.05,1.1,-4.66
ALL,2024-02-07,2024-02-08,yahoo,actual,unknown,5.82,3.94,47.88
ALL,2024-05-01,2024-05-02,yahoo,actual,unknown,5.13,3.94,30.29
ALL,2024-07-31,2024-08-01,yahoo,actual,unknown,1.61,0.36,346.5
ALL,2024-10-30,2024-10-31,yahoo,actual,unknown,3.91,2.4,62.9
ALL,2025-02-05,2025-02-06,yahoo,actual,unknown,7.07,6.15,14.96
ALL,2025-04-30,2025-05-01,yahoo,actual,unknown,3.53,2.53,39.33
ALL,2025-07-30,2025-07-31,yahoo,actual,unknown,7.76,3.87,100.72
ALL,2025-11-05,2025-11-06,yahoo,actual,unknown,13.95,7.57,84.4
ALLE,2024-02-20,2024-02-21,yahoo,actual,unknown,1.68,1.58,6.09
ALLE,2024-04-25,2024-04-26,yahoo,actual,unknown,1.55,1.45,7.21
ALLE,2024-07-24,2024-07-25,yahoo,actual,unknown,1.96,1.84,6.3
ALLE,2024-10-24,2024-10-25,yahoo,actual,unknown,2.16,1.98,9.03
